hub_id,hub_name,rim_id,rim_name,F_lat,tension_ratio,flange_width,pcd_mean,pcd_ds,pcd_nds,standard_157,rim_stiffness_index,rim_internal_width,rim_material
h23,KOM Xeno Rear Boost 148x12,r3,Stan's Flow S2,17.256054395698076,77.20674343575655,54.0,46.0,46.0,46.0,0,0.867,30,alloy
h23,KOM Xeno Rear Boost 148x12,r4,We Are One Convert,24.34081048081888,77.20674343575655,54.0,46.0,46.0,46.0,0,1.575,35,carbon
h23,KOM Xeno Rear Boost 148x12,r5,ENVE M730,25.395405202741678,77.20674343575655,54.0,46.0,46.0,46.0,0,1.736,30,carbon
h27,DMR Zone 148 Boost Centerlock,r1,DT Swiss XM 481,15.580794167344463,55.565944905695595,59.0,56.0,56.0,56.0,0,1.0,30,alloy
h27,DMR Zone 148 Boost Centerlock,r2,Race Face ARC Offset 30,15.238340229208504,55.565944905695595,59.0,56.0,56.0,56.0,0,0.952,30,alloy
h27,DMR Zone 148 Boost Centerlock,r3,Stan's Flow S2,14.583147829174143,55.565944905695595,59.0,56.0,56.0,56.0,0,0.867,30,alloy
h27,DMR Zone 148 Boost Centerlock,r4,We Are One Convert,18.68654617637877,55.565944905695595,59.0,56.0,56.0,56.0,0,1.575,35,carbon
h27,DMR Zone 148 Boost Centerlock,r5,ENVE M730,19.341620990170533,55.565944905695595,59.0,56.0,56.0,56.0,0,1.736,30,carbon
h28,DT Swiss 350 148 6-bolt,r1,DT Swiss XM 481,18.070115912716474,63.747036519897115,59.900000000000006,55.0,52.0,58.0,0,1.0,30,alloy
h28,DT Swiss 350 148 6-bolt,r2,Race Face ARC Offset 30,17.649390946968712,63.747036519897115,59.900000000000006,55.0,52.0,58.0,0,0.952,30,alloy
h28,DT Swiss 350 148 6-bolt,r3,Stan's Flow S2,16.84295801412159,63.747036519897115,59.900000000000006,55.0,52.0,58.0,0,0.867,30,alloy
h28,DT Swiss 350 148 6-bolt,r4,We Are One Convert,21.86374142789305,63.747036519897115,59.900000000000006,55.0,52.0,58.0,0,1.575,35,carbon
h28,DT Swiss 350 148 6-bolt,r5,ENVE M730,22.659420517560974,63.747036519897115,59.900000000000006,55.0,52.0,58.0,0,1.736,30,carbon
h30,e*thirteen Sidekick 148 Boost,r1,DT Swiss XM 481,15.619855846558108,55.567140697488284,59.0,60.0,60.0,60.0,0,1.0,30,alloy
h30,e*thirteen Sidekick 148 Boost,r2,Race Face ARC Offset 30,15.277895128127119,55.567140697488284,59.0,60.0,60.0,60.0,0,0.952,30,alloy
h30,e*thirteen Sidekick 148 Boost,r3,Stan's Flow S2,14.623765464846944,55.567140697488284,59.0,60.0,60.0,60.0,0,0.867,30,alloy
h30,e*thirteen Sidekick 148 Boost,r4,We Are One Convert,18.72297721313252,55.567140697488284,59.0,60.0,60.0,60.0,0,1.575,35,carbon
h30,e*thirteen Sidekick 148 Boost,r5,ENVE M730,19.377853026973032,55.567140697488284,59.0,60.0,60.0,60.0,0,1.736,30,carbon
h2,Onyx 150/157,r1,DT Swiss XM 481,21.61292499797542,66.57674812516349,68.82,50.0,50.0,50.0,1,1.0,30,alloy
h2,Onyx 150/157,r2,Race Face ARC Offset 30,21.16644616088378,66.57674812516349,68.82,50.0,50.0,50.0,1,0.952,30,alloy
h2,Onyx 150/157,r3,Stan's Flow S2,20.315105451496404,66.57674812516349,68.82,50.0,50.0,50.0,1,0.867,30,alloy
h2,Onyx 150/157,r4,We Are One Convert,25.712952085571295,66.57674812516349,68.82,50.0,50.0,50.0,1,1.575,35,carbon
h2,Onyx 150/157,r5,ENVE M730,26.58855494918813,66.57674812516349,68.82,50.0,50.0,50.0,1,1.736,30,carbon
h3,Onyx 150/157 Vesper,r1,DT Swiss XM 481,21.17320732229627,65.76242119460615,68.37,46.0,50.0,42.0,1,1.0,30,alloy
